m72-built-ins-Object-S15.2.2.1_A2_T3.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 1,2,3,4 got [object Object] (The value of n_obj is expected to equal the value of arr)
m72-built-ins-Object-S15.2.2.1_A2_T5.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Object] got [object Object] (The value of n_obj is expected to equal the value of obj)
m72-built-ins-Object-S15.2.2.1_A2_T6.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [object Object] (The value of n_obj is expected to equal the value of func)
m72-built-ins-Object-S15.2.2.1_A2_T7.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [function Function] (The value of n_obj.constructor is expected to equal the value of Function)
m72-built-ins-String-S15.5.1.1_A1_T16.js	None	正向用例失败 vm_rc=None: 
m72-built-ins-String-S15.5.1.1_A1_T8.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.1.1_A2_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T10.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T11.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T12.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T13.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-String-S15.5.2.1_A1_T16.js	None	正向用例失败 vm_rc=None: 
m72-built-ins-Symbol-constructor.js	Some(1	) 正向用例失败 vm_rc=Some(1): TypeError: Cannot read properties of null (reading 'constructor')
m72-built-ins-Symbol-desc-to-string-symbol.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.throws: no exception thrown
m72-built-ins-Symbol-desc-to-string.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected toStringvalueOf got 
m72-built-ins-Symbol-for-description.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected test262 got [object Object]
m72-built-ins-Symbol-invoked-with-new.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.throws: no exception thrown
m72-built-ins-Symbol-keyFor-arg-non-symbol.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected function got undefined
m72-built-ins-Symbol-not-callable.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.throws: no exception thrown
m72-built-ins-Symbol-prototype-description-get.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected  got undefined (The value of emptyStr.description is "")
m72-built-ins-Symbol-prototype-intrinsic.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Object] got null (`Object.getPrototypeOf(Symbol('66'))` returns `Symbol.prototype`)
m72-built-ins-undefined-15.1.1.3-1.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected undefined got number (typeof undefined)
m72-built-ins-undefined-S15.1.1.3_A3_T2.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-asi-S7.9.2_A1_T1.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9.2_A1_T1.js.bc)\n"）
m72-language-asi-S7.9.2_A1_T5.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-asi-S7.9.2_A1_T6.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9.2_A1_T6.js.bc)\n"）
m72-language-asi-S7.9_A1.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-asi-S7.9_A10_T2.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A10_T2.js.bc)\n"）
m72-language-asi-S7.9_A10_T6.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A10_T6.js.bc)\n"）
m72-language-asi-S7.9_A10_T8.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A10_T8.js.bc)\n"）
m72-language-asi-S7.9_A11_T4.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A11_T4.js.bc)\n"）
m72-language-asi-S7.9_A11_T8.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A11_T8.js.bc)\n"）
m72-language-asi-S7.9_A2.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-asi-S7.9_A5.1_T1.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A5.1_T1.js.bc)\n"）
m72-language-asi-S7.9_A5.2_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-asi-S7.9_A5.3_T1.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-asi-S7.9_A5.3_T1.js.bc)\n"）
m72-language-asi-S7.9_A5.4_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-language-comments-S7.4_A3.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-comments-S7.4_A3.js.bc)\n"）
m72-language-comments-S7.4_A4_T1.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-comments-S7.4_A4_T1.js.bc)\n"）
m72-language-comments-S7.4_A4_T4.js	Some(1	) parse 负例未报 SyntaxError（compile_err=None, out="Error: $DONOTEVALUATE\n    at <module> (C:\\Users\\issue\\AppData\\Local\\Temp\\aluka_t262_21152\\m72-language-comments-S7.4_A4_T4.js.bc)\n"）
